المقرر,المتطلب 
سلام-252,-
سلام-253,سلام252
سلام-272,سلام171
سلام-273,سلام141 سلام171
سلام-274,سلام272
سلام-288,جميع مقررات الخطة
سلام-291,-
سلام-299,جميع مقررات الخطة
سلغذ-201,احيا111
سلغذ-202,سلغذ241
سلغذ-203,احيا221
سلغذ-211,-
سلغذ-241,احيا111
سلغذ-242,كيمي112
سلغذ-243,سلغذ241
سلغذ-244, كيمي112 سلغذ211 
سلغذ-251,-
سلغذ-271,سلغذ211
سلغذ-288,جميع مقررات الخطة
سلغذ-291,سلغذ241 سلغذ211
سلغذ-299,جميع مقررات الخطة
سمكر-001,-
سمكر-002,-
سمكر-003,-
سمكر-011,-
سمكر-012,سمكر001
سمكر-013,-
سمكر-014,-
سمكر-021,-
سمكر-022,سمكر021
سمكر-031,سمكر001
سمكر-032,سمكر002
سمكر-033,سمكر001
سمكر-034,سمكر001
سمكر-035,سمكر001
سمكر-041,سمكر011
سمكر-042,-
سمكر-043,-
سمكر-051,سمكر041
سمكر-052,سمكر041
سمكر-091,-
سمكر-092,-
سمكر-093,-
سمكر-094,-
سمكر-095,-
سمكر-096,-
سمكر-097,-
سمكر-098,-
سيار-011,ميكا031
سيار-012,ميكا032
سيار-013,ميكا031
سيار-014,-
سيار-015,حاكر012
سيار-016,ميكا032
سيار-017,حاكر012
سيار-018,سيار011
سيار-019,ميكا036
سيار-021,-
سيار-091,-
سيار-093,-
سيار-094,-
سيار-095,-
سيار-096,-
سيار-097,-
سيار-098,-
سيبر-312,نشبك312 سيبر321
سيبر-321,-
سيبر-322,رياض304 سيبر321
سيبر-351,-
سيبر-352,سيبر351
سيبر-423,سيبر453
سيبر-424,سيبر423 سيبر444
سيبر-431,سيبر444 سيبر453
سيبر-432,سيبر431
سيبر-441,شبكا313 سيبر322
سيبر-442,سيبر441
سيبر-443,سيبر441
سيبر-444,سيبر312 نشبك444
سيبر-453,سيبر352
سيبر-461,سيبر423
سيبر-471,سيبر322 نشبك444
سيبر-472,سيبر322 سيبر352
سيبر-481,سيبر441
سيبر-482,سيبر444 سيبر453
سيبر-491, سيبر423 سيبر431 سيبر442 
شبكا-111,-
شبكا-121,شبكا111
شبكا-222,شبكا121
شبكا-231,شبكا121 داعم226
شبكا-232,شبكا231
شبكا-241,شبكا222
شبكا-285,شبكا121
شبكا-288,جميع مقررات الخطة
شبكا-295,شبكا222
شبكا-299,جميع مقررات الخطة
شبكا-313,-
شبكا-323,شبكا313
شبكا-351,-
شبكا-352,شبكا313
شبكا-371,-
شبكا-372,شبكا313
شبكا-424,شبكا323
شبكا-433,نشبك312
شبكا-434,شبكا433
شبكا-442,شبكا313
شبكا-443,نشبك312
شبكا-444,شبكا424
شبكا-473,-
شبكا-492,شبكا424
صحية-011,مدرع003
صحية-012,-
صحية-013,صحية012
صحية-021,-
صحية-022,-
صحية-023,-
صحية-024,-
صحية-031,مرسم003
صحية-032,-
صحية-041,صحية021
صحية-042,-
صحية-043,-
صحية-051,-
صحية-052,-
صحية-059,-
صحية-091,-
صحية-098,-
صفيح-011,مهني003
صفيح-021,-
صفيح-031,-
صفيح-032,صفيح031
صفيح-041,-
صفيح-051,ميكا071
صفيح-052,صفيح051
صفيح-091,-
صفيح-093,-
صفيح-094,-
صفيح-095,-
صفيح-098,-
ضيوف-121,-
ضيوف-151,-
ضيوف-211,-
ضيوف-231,ضيوف151
ضيوف-252,ضيوف151
ضيوف-253,ضيوف252
ضيوف-261,ضيوف121
ضيوف-288,جميع مقررات الخطة
ضيوف-299,جميع مقررات الخطة
طاهي-101,-
طاهي-102,-
طاهي-111,-
طاهي-141,-
طاهي-142,-
طاهي-151,-
طاهي-212,طاهي111
طاهي-213,طاهي111
طاهي-214,طاهي221
طاهي-215,طاهي221
طاهي-221,طاهي111
طاهي-222,طاهي111
طاهي-252,طاهي101
طاهي-253,طاهي111
طاهي-288,جميع مقررات الخطة
طاهي-299,جميع مقررات الخطة
عامة-401,-
عامة-402,-
عامة-403,-
عامة-404,-
عامة-405,-
عربي-001,-
عربي-002,-
عربي-101,-
عربي-172,-
عربي-173,عربي172
